ID,c0,c1,Output,c2,c3,c4,c5,Pred-confusion-matrix,Input-X,Input-Y,Input-Z,Output-proba-class0,Output-proba-class1,Output-proba-class2,Output-proba-class3,Output-proba-class4,Output-proba-class5,Data-isval,c13,c14,c15
1000014,0.0,61.0,1.0,8.0,8.26,0.0,1544240.0,True-1 Pred-0,0.2473399639129638,-0.1854221373796463,0.0344383008778095,0.241248533129692,0.2011085897684097,0.131937488913536,0.1549033522605896,0.099757008254528,0.1710450649261474,False,0.2085218640868138,alc_int_freq,"('out_classes', 6)"
1000023,1.0,66.0,1.0,4.0,14.62,0.0,1496460.0,True-1 Pred-0,0.2301404178142547,-0.1362392157316208,0.075994037091732,0.2371412962675094,0.200683519244194,0.1352526098489761,0.1557762324810028,0.1006740033626556,0.1704723536968231,False,,,"('task_type', 'classif')"
1000030,0.0,65.0,5.0,8.0,4.49,0.0,1492910.0,True-5 Pred-0,0.3435757458209991,-0.2403516322374344,0.0777769535779953,0.241923913359642,0.2037467360496521,0.134226307272911,0.154337391257286,0.095679223537445,0.1700864434242248,True,,,"('freeze_feature_extractor', False)"
1000077,1.0,58.0,2.0,3.0,6.61,0.0,1738670.0,True-2 Pred-4,-1.313610553741455,1.6680850982666016,0.6879206895828247,0.1384413987398147,0.1578308045864105,0.1887611746788025,0.175755888223648,0.1905323415994644,0.1486783772706985,True,,,
1000095,0.0,52.0,4.0,8.0,14.63,0.0,1386760.0,True-4 Pred-0,-0.4773352444171905,0.7027037143707275,0.32967010140419,0.1891687512397766,0.1810969859361648,0.1604636460542678,0.1669393181800842,0.1372499018907547,0.1650813668966293,False,,,
1000146,1.0,54.0,2.0,6.0,14.5,0.0,1629710.0,True-2 Pred-2,-1.546850085258484,2.0195484161376958,0.9433218240737916,0.1191374436020851,0.1511639058589935,0.2076553851366043,0.1780831664800644,0.2059219628572464,0.1380381882190704,False,,,
1000152,0.0,53.0,2.0,10.0,5.36,0.0,1469970.0,True-2 Pred-2,-1.144214153289795,1.5831984281539917,0.7844836711883545,0.1389341950416565,0.1625023186206817,0.1973004937171936,0.1758433878421783,0.1780034899711609,0.1474160850048065,False,,,
1000169,1.0,70.0,5.0,7.0,4.83,0.0,1578960.0,True-5 Pred-0,-0.5275144577026367,0.6873899102210999,0.2785244584083557,0.1915965974330902,0.1811357736587524,0.1550775468349456,0.1670141667127609,0.1401604264974594,0.1650154292583465,False,,,
1000181,1.0,56.0,1.0,6.0,2.82,0.0,1646130.0,True-1 Pred-2,-0.7141348123550415,1.0548847913742063,0.5180299878120422,0.1678117662668228,0.1737141013145446,0.1771868765354156,0.1707851290702819,0.1510643064975738,0.1594377756118774,False,,,
1000197,0.0,57.0,1.0,4.0,10.63,0.0,1760630.0,True-1 Pred-2,-1.3294546604156494,1.8175886869430544,0.8874759674072266,0.1276555657386779,0.1564142704010009,0.2059992551803589,0.1769779473543167,0.1901492625474929,0.1428036838769912,False,,,
1000202,1.0,67.0,0.0,6.0,2.59,0.0,1469510.0,True-0 Pred-0,0.0535646826028823,0.0178782120347023,0.0760747045278549,0.2299285680055618,0.1964769959449768,0.1363299340009689,0.1580249816179275,0.1088787242770195,0.1703607738018036,False,,,
1000229,0.0,66.0,1.0,11.0,0.54,0.0,1256590.0,True-1 Pred-4,-1.892609477043152,2.287818670272827,0.9653050899505616,0.1093876138329505,0.1434112936258316,0.2028833478689193,0.1789674758911132,0.2335668057203292,0.1317834705114364,False,,,
1000231,1.0,68.0,4.0,2.0,17.7,0.0,1535100.0,True-4 Pred-0,0.2881185412406921,-0.2183981984853744,0.040031149983406,0.2425554394721985,0.2021801769733429,0.1319786757230758,0.1544621586799621,0.0979662612080574,0.1708573400974273,False,,,
